날짜,지역,확진환자수
2020-03-03,서울,98
2020-03-03,부산,90
2020-03-03,대구,3600
2020-03-03,인천,7
2020-03-03,광주,11
2020-03-03,대전,14
2020-03-03,울산,20
2020-03-03,세종,1
2020-03-03,경기,94
2020-03-03,강원,20
2020-03-03,충북,12
2020-03-03,충남,81
2020-03-03,전북,7
2020-03-03,전남,5
2020-03-03,경북,685
2020-03-03,경남,64
2020-03-03,제주,3
